GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
NCGC00179767-02_C38H54O13_Estra-1,5-diene-3,11-dione, 17-[(1R,3E)-5-(acetyloxy)-1-hydroxy-1,5-dimethyl-2-oxo-3-hexen-1-yl]-2-(beta-D-glucopyranosyloxy)-16-hydroxy-4,4,9,14-tetramethyl-, (9beta,10alpha,17beta)-																		no	no		
NCGC00179777-03!(E)-1-(3,4-dihydroxy-2,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one																		no	no		
NCGC00179793-02!3,4-dimethyl-2,5-bis(3,4,5-trimethoxyphenyl)oxolane																		no	no		
NCGC00179844-02_C36H58O11_1-O-[(2alpha,3beta,5xi,9xi,18xi,19alpha)-2,3,19,23-Tetrahydroxy-28-oxoolean-12-en-28-yl]-beta-D-glucopyranose																		no	no		
NCGC00179850-02_C42H66O16_Hexopyranose, 1-O-[(3beta,5xi,9xi)-3-(hexopyranuronosyloxy)-23,24-dihydroxy-28-oxoolean-12-en-28-yl]-																		no	no		
NCGC00179860-02!6-[(3R,4S,5S,7R)-7-[(2S,3S,5S)-5-ethyl-5-[(2R,5R,6S)-5-ethyl-5-hydroxy-6-methyloxan-2-yl]-3-methyloxolan-2-yl]-4-hydroxy-3,5-dimethyl-6-oxononyl]-2-hydroxy-3-methylbenzoic acid																		no	no		
NCGC00179861-02_C15H26O2_1,8-Azulenediol, 1,2,3,3a,4,7,8,8a-octahydro-3a,6-dimethyl-1-(1-methylethyl)-, (1R,3aR,8S,8aS)-																		no	no		
NCGC00179887-02!3-[(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-methoxychromen-4-one																		no	no		
NCGC00179896-02_C16H22O8_beta-D-Glucopyranoside, 4-[(1E)-3-hydroxy-1-propen-1-yl]-2-methoxyphenyl																		no	no		
NCGC00179900-02_C40H62O15_Ergosta-5,24-dien-26-one, 22,26-epoxy-3-[(6-O-hexopyranosylhexopyranosyl)oxy]-1,28-dihydroxy-																		no	no		
NCGC00179918-02!5-hydroxy-2-(4-hydroxyphenyl)-7-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3-(3,4,5-trihydroxyoxan-2-yl)oxychromen-4-one																		no	no		
NCGC00179922-02!4-(carboxymethyl)-3-ethenyl-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-5-carboxylic acid																		no	no		
NCGC00179981-03!9-(2,3-dihydroxy-3-methylbutoxy)furo[3,2-g]chromen-7-one																		no	no		
NCGC00179985-02![(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-phenylprop-2-enoate																		no	no		
NCGC00179992-02!3-[3-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one																		no	no		
NCGC00180052-02_C21H36O10_beta-D-Glucopyranoside, (1R)-1-ethenyl-1,5-dimethyl-4-hexen-1-yl 6-O-alpha-L-arabinopyranosyl-																		no	no		
NCGC00180097-02!																		no	no		
NCGC00180160-02!2-(3,4-dimethoxyphenoxy)-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxane-3,4,5-triol																		no	no		
NCGC00180191-02!8-(1,2-dihydroxy-3-methylbut-3-enyl)-7-methoxychromen-2-one																		no	no		
NCGC00180203-02_C21H28O5_(5xi,6beta,7alpha)-11,12-Dihydroxy-7-methoxy-6,20-epoxyabieta-8,11,13-trien-20-one																		no	no		
NCGC00180206-02!5-hydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyphenyl]chromen-4-one																		no	no		
NCGC00180259-02!2-(hydroxymethyl)-6-[4-[(2S,3S)-3-(hydroxymethyl)-5-[(E)-3-hydroxyprop-1-enyl]-7-methoxy-2,3-dihydro-1-benzofuran-2-yl]-2-methoxyphenoxy]oxane-3,4,5-triol																		no	no		
NCGC00180260-02!5,7-dihydroxy-2-(4-methoxyphenyl)-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one																		no	no		
NCGC00180261-02!1,11,21-trihydroxy-1,6,11,16,21,26-hexazacyclohentriacontane-2,5,12,15,22,25-hexone																		no	no		
NCGC00180273-02!7-hydroxy-2-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one																		no	no		
NCGC00180357-02_C15H20O2_2(4aH)-Naphthalenone, 5,6,7,8-tetrahydro-6-hydroxy-4a,5-dimethyl-3-(1-methylethenyl)-, (4aR,5R,6R)-																		no	no		
NCGC00180396-02!6-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one																		no	no		
NCGC00180410-02!3-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R,5R,6S)-3-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-methyloxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one																		no	no		
NCGC00180412-02![5-hydroxy-6-[2-(4-hydroxy-3-methoxyphenyl)ethoxy]-2-(hydroxymethyl)-4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate																		no	no		
NCGC00180417-03_C31H40O16_(1aS,1bS,2S,5aR,6S,6aS)-6-({6-Deoxy-4-O-[(2E)-3-(4-methoxyphenyl)-2-propenoyl]-alpha-L-mannopyranosyl}oxy)-1a-(hydroxymethyl)-1a,1b,2,5a,6,6a-hexahydrooxireno[4,5]cyclopenta[1,2-c]pyran-2-yl beta-D-glucopyranoside																		no	no		
NCGC00180442-02!2-[(1S)-1-hydroxyethyl]-1H-quinazolin-4-one																		no	no		
NCGC00180444-02!(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[2-(4-hydroxyphenyl)ethoxy]oxane-3,4,5-triol																		no	no		
NCGC00180485-03_C21H32O4_(5beta,8alpha,9beta,10alpha,13alpha)-18-Methoxy-18-oxokauran-17-oic acid																		no	no		
NCGC00180494-03_C42H66O14_1-O-[(3beta,5xi,9xi,18xi)-3-(beta-D-Glucopyranuronosyloxy)-28-oxoolean-12-en-28-yl]-beta-D-glucopyranose																		no	no		
NCGC00180501-02!3-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one																		no	no		
NCGC00180529-03!(3S,6R,9S,12R,15S,18R)-4,10,16-trimethyl-3,6,9,12,15,18-hexa(propan-2-yl)-1,7,13-trioxa-4,10,16-triazacyclooctadecane-2,5,8,11,14,17-hexone																		no	no		
NCGC00180533-02!2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid																		no	no		
NCGC00180563-02_C48H76O18_beta-D-Glucopyranose, 4-O-(6-deoxy-alpha-L-mannopyranosyl)-1-O-[(3beta,5xi,9xi)-3-(beta-D-glucopyranuronosyloxy)-28-oxoolean-12-en-28-yl]-																		no	no		
NCGC00180574-02!5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one																		no	no		
NCGC00180578-03!(2S)-2-[2-(1,3-benzodioxol-5-yl)ethyl]-4-methoxy-2,3-dihydropyran-6-one																		no	no		
NCGC00180591-02_C36H58O10_1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,23-Trihydroxy-28-oxoolean-12-en-28-yl]-beta-D-glucopyranose																		no	no		
NCGC00180613-03!1,11,22-trihydroxy-1,6,11,16,22,27-hexazacyclodotriacontane-2,5,12,15,23,26-hexone																		no	no		
NCGC00180619-02!5,7-dihydroxy-2-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one																		no	no		
NCGC00180645-03!2-acetamido-3-(1H-indol-3-yl)propanoic acid																		no	no		
NCGC00180655-02!5,7-dihydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one																		no	no		
NCGC00180686-03_C36H56O14_Card-20(22)-enolide, 3-[(6-deoxy-4-O-beta-D-glucopyranosyl-3-O-methyl-alpha-D-talopyranosyl)oxy]-1,14-dihydroxy-, (1beta,3beta,5beta,9xi)-																		no	no		
NCGC00180731-02_C19H26O12_Methyl 2-{[6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranosyl]oxy}benzoate																		no	no		
NCGC00180735-02!5,7-dihydroxy-6-methoxy-2-phenyl-2,3-dihydrochromen-4-one																		no	no		
NCGC00180756-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one																		no	no		
NCGC00180770-02!3-[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one																		no	no		
NCGC00180796-02_C28H38O6_(4beta,5beta,6beta,22R)-4,27-Dihydroxy-5,6:22,26-diepoxyergosta-2,24-diene-1,26-dione																		no	no		
NCGC00180799-02!2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one																		no	no		
NCGC00180809-02!4-(3-methylbut-2-enoxy)furo[3,2-g]chromen-7-one																		no	no		
NCGC00180820-03_C25H38O4_(5xi,9xi)-Beyer-15-en-18-yl methyl succinate																		no	no		
NCGC00180823-02!(3R,4R,5R)-5-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3,4-dihydroxycyclohexene-1-carboxylic acid																		no	no		
NCGC00180824-02!5,7-dihydroxy-6,8-dimethoxy-2-(4-methoxyphenyl)chromen-4-one																		no	no		
NCGC00180829-02_C29H44O12_Card-20(22)-enolide, 3-[(6-deoxy-beta-D-talopyranosyl)oxy]-1,5,11,14,19-pentahydroxy-, (1beta,3beta,5beta,8xi,9xi,11alpha)-																		no	no		
NCGC00180834-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one																		no	no		
NCGC00180843-03_C25H36O12_2,7-Octadienoic acid, 6-hydroxy-2,6-dimethyl-, (1aR,1bS,2S,5aS,6R,6aS)-2-(beta-D-glucopyranosyloxy)-1a,1b,2,5a,6,6a-hexahydro-5a-hydroxy-1a-methyloxireno[4,5]cyclopenta[1,2-c]pyran-6-yl ester, (2E,6S)-																		no	no		
NCGC00180844-02!(E)-3-[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid																		no	no		
NCGC00180855-02_C23H36O4_2-Pentenoic acid, 3-[(acetyloxy)methyl]-5-[(1R,4aR,8aR)-decahydro-5,5,8a-trimethyl-2-methylene-1-naphthalenyl]-, methyl ester, (2Z)-																		no	no		
NCGC00180868-02_C16H22O9_3-[2-(beta-D-Glucopyranosyloxy)-4-methoxyphenyl]propanoic acid																		no	no		
NCGC00180873-02!(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[4-[(E)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenoxy]oxane-3,4,5-triol																		no	no		
NCGC00244969-01!4-[[2-[(E)-3-hydroxybut-1-enyl]-5-oxooxolan-3-yl]amino]benzaldehyde																		no	no		
NCGC00246242-02!4-(3-hydroxybutyl)phenol																		no	no		
NCGC00247535-02!4-methoxy-9-(3-methylbut-2-enoxy)furo[3,2-g]chromen-7-one																		no	no		
NCGC00253541-03_C27H40O2_(2R)-2,8-Dimethyl-2-[(3E,7E)-4,8,12-trimethyl-3,7,11-tridecatrien-1-yl]-6-chromanol																		no	no		
NCGC00270979-03![6-hydroxy-1,1,4a,6-tetramethyl-5-[(2-oxochromen-7-yl)oxymethyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalen-2-yl] acetate																		no	no		
NCGC00321441-02!7-[(6-hydroxy-2,5,5,8a-tetramethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl)methoxy]chromen-2-one																		no	no		
NCGC00344564-03!5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one																		no	no		
NCGC00346662-04_C17H24O10_Methyl (1S,4aS,7aS)-1-(beta-D-glucopyranosyloxy)-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate																		no	no		
NCGC00346663-03_C16H22O10_(1S,4aS,7aS)-1-(beta-D-Glucopyranosyloxy)-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid																		no	no		
NCGC00347357-02_C30H48O5_Olean-12-en-28-oic acid, 2,3,19-trihydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-																		no	no		
NCGC00347358-02_C38H58O15_Card-20(22)-enolide, 1-(acetyloxy)-3-[[(1R)-4-O-(6-deoxy-3-O-methylhexopyranosyl)hexopyranosyl]oxy]-14-hydroxy-, (1beta,3beta,8xi,9xi)-																		no	no		
NCGC00347366-03!2,4,6-trihydroxy-5-[1-(4-hydroxy-1,1,4,7-tetramethyl-1a,2,3,4a,5,6,7a,7b-octahydrocyclopropa[h]azulen-7-yl)-3-methylbutyl]benzene-1,3-dicarbaldehyde																		no	no		
NCGC00347372-02_C45H74O17_beta-D-Glucopyranoside, (3beta,5beta,9xi,14xi,25S)-spirostan-3-yl O-6-deoxy-alpha-L-mannopyranosyl-(1->4)-O-[beta-D-glucopyranosyl-(1->2)]-																		no	no		
NCGC00347374-02![(2R,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[(2S,3S,4R,5R)-4-hydroxy-3-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxyoxan-2-yl]methyl (E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoate																		no	no		
NCGC00347389-02_C42H72O14_beta-D-Glucopyranoside, (3beta,6alpha,9xi,12beta)-3,12,20-trihydroxydammar-24-en-6-yl 2-O-beta-D-glucopyranosyl-																		no	no		
NCGC00347394-02!(2R)-5,8-dihydroxy-2-(2-hydroxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one																		no	no		
NCGC00347399-02_C48H76O19_beta-D-Glucopyranose, 1-O-[(3beta,5xi,9xi,18xi)-3-[(3-O-beta-D-galactopyranosyl-beta-D-glucopyranuronosyl)oxy]-28-oxoolean-12-en-28-yl]-																		no	no		
NCGC00347404-02_C15H20O8_4-Acetyl-3-hydroxy-5-methylphenyl beta-D-glucopyranoside																		no	no		
NCGC00347410-03_C40H62O14_Ergosta-5,24-dien-26-one, 22,26-epoxy-3-[(6-O-hexopyranosylhexopyranosyl)oxy]-1-hydroxy-																		no	no		
NCGC00347413-02!1,3,6,7-tetrahydroxy-2,8-bis(3-methylbut-2-enyl)xanthen-9-one																		no	no		
NCGC00347420-02_C39H65NO12_15-Hydroxyspirosolan-3-yl 2-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside																		no	no		
NCGC00347423-03_C35H54O14_Card-20(22)-enolide, 3-[(2-O-hexopyranosylhexopyranosyl)oxy]-14-hydroxy-, (3beta,5alpha,9xi)-																		no	no		
NCGC00347495-02_C23H32O6_Spiro[benzofuran-2(3H),1'(2'H)-naphthalene]-7-carboxaldehyde, 3',4',4'a,5',6',7',8',8'a-octahydro-4,6',7'-trihydroxy-6-(hydroxymethyl)-2',5',5',8'a-tetramethyl-																		no	no		
NCGC00347504-02_C18H20N2O9_Uridine, 2'-(4-hydroxy-2-methoxy-6-methylbenzoate)																		no	no		
NCGC00347509-02!(2E,6E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-2,6,34-triene-1,11,15,19,23,27,31-heptol																		no	no		
NCGC00347515-02_C20H32O4_2-Furanacetic acid, 5-ethenyltetrahydro-alpha,5-dimethyl-, (2Z)-6-hydroxy-2,6-dimethyl-2,7-octadien-1-yl ester																		no	no		
NCGC00347524-02_C23H34O15_Cyclopenta[c]pyran-4-carboxylic acid, 1-[(6-O-beta-D-glucopyranosyl-beta-D-glucopyranosyl)oxy]-1,4a,5,7a-tetrahydro-7-(hydroxymethyl)-, methyl ester, (1S,4aS,7aS)-																		no	no		
NCGC00347555-02!2-(21-amino-3,20-dihydroxydocosan-2-yl)oxy-6-(hydroxymethyl)oxane-3,4,5-triol																		no	no		
NCGC00347558-02!4-amino-2-hydroxy-5-[[1-hydroxy-1-(5-oxo-6-bicyclo[4.1.0]hept-3-enyl)propan-2-yl]amino]-5-oxopentanoic acid																		no	no		
NCGC00347564-02!(3S,6Z)-3-methyl-6-[[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]methylidene]piperazine-2,5-dione																		no	no		
NCGC00347565-02![3-(4-hydroxy-3-methoxybenzoyl)-2,3-dimethyloxiran-2-yl]-(4-hydroxy-3-methoxyphenyl)methanone																		no	no		
NCGC00347566-02_C34H59N3O9_1,7,13-Trioxa-4,10,16-triazacyclooctadecane-2,5,8,11,14,17-hexone, 4,10,16-trimethyl-3,6,9,12,18-pentakis(1-methylethyl)-15-[(1S)-1-methylpropyl]-, (3S,6R,9S,12R,15S,18R)-																		no	no		
NCGC00347575-02_C25H39NO5_(7E)-11,12-Dihydroxy-3-isobutyl-13-methoxy-4,5,8-trimethyl-3,3a,4,6a,9,10,11,12,13,14-decahydro-1H-cycloundeca[d]isoindole-1,15(2H)-dione																		no	no		
NCGC00347586-02_C30H46O6_3,19-Dihydroxyurs-12-ene-23,28-dioic acid																		no	no		
NCGC00347607-02!2-acetyl-4-[(3-butanoyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one																		no	no		
NCGC00347612-02_C20H30O4_17-Hydroxy-15,16-epoxykauran-18-oic acid																		no	no		
NCGC00347613-02!5-[(2R,3S)-6-hydroxy-2-(4-hydroxyphenyl)-4-[(E)-2-(4-hydroxyphenyl)ethenyl]-2,3-dihydro-1-benzofuran-3-yl]benzene-1,3-diol																		no	no		
NCGC00347641-02_C25H38O12_(1R,2R,3R,3aS,5aS,6R,7R,10R,10aR,10cR)-1,2,6,7-Tetrahydroxy-3,7,10a,10c-tetramethyl-4-oxo-2,3,3a,4,5a,6,6a,7,10,10a,10b,10c-dodecahydro-1H-phenanthro[10,1-bc]furan-10-yl beta-D-glucopyranoside																		no	no		
NCGC00347644-02_C21H30O13_(4aS,5R,6S)-1-Oxo-5-vinyl-4,4a,5,6-tetrahydro-1H,3H-pyrano[3,4-c]pyran-6-yl 6-O-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]-beta-D-glucopyranoside																		no	no		
NCGC00347646-02_C15H24O10_4a,5,7-Trihydroxy-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-yl beta-D-glucopyranoside																		no	no		
NCGC00347652-02_C35H53N5O7_12-Benzyl-3-isobutyl-6,9-diisopropyl-5,8-dimethyldodecahydro-1H,3H-pyrrolo[1,2-q][1,4,7,10,13,17]oxapentaazacyclononadecine-1,4,7,10,13,17(14H)-hexone																		no	no		
NCGC00347662-02_C30H40O11_Methyl 5,6-diacetoxy-10-hydroxy-2,4b,7,7,10a,12a-hexamethyl-12-methylene-1,4,8-trioxohexadecahydro-2H-naphtho[1,2-h]isochromene-2-carboxylate																		no	no		
NCGC00347678-02!7-(3,4-dihydroxyphenyl)-1-(4-hydroxyphenyl)-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyheptan-3-one																		no	no		
NCGC00347686-02!N-[3-[5,8-bis[3-[acetyl(hydroxy)amino]propyl]-14-(hydroxymethyl)-3,6,9,12,15,18-hexaoxo-1,4,7,10,13,16-hexazacyclooctadec-2-yl]propyl]-N-hydroxyacetamide																		no	no		
NCGC00347731-02_C26H32O12_beta-D-Glucopyranoside, 2-methoxy-4-[(1S,3aS,4R,6aR)-tetrahydro-3a-hydroxy-4-(4-hydroxy-3-methoxyphenyl)-1H,3H-furo[3,4-c]furan-1-yl]phenyl																		no	no		
NCGC00347737-02_C41H66O13_Olean-12-en-28-oic acid, 3-[(2-O-beta-D-glucopyranosyl-alpha-L-arabinopyranosyl)oxy]-23-hydroxy-, (5xi,9xi)-																		no	no		
NCGC00347745-02!																		no	no		
NCGC00347762-02!3-benzyl-6-(1H-indol-3-ylmethyl)piperazine-2,5-dione																		no	no		
NCGC00347771-02_C36H58O12_beta-D-Glucopyranose, 1-O-[(2alpha,3beta,5xi,9xi,18xi,19alpha)-2,3,19,23,24-pentahydroxy-28-oxoolean-12-en-28-yl]-																		no	no		
NCGC00347778-02_C34H52O12_1,5,16-Trihydroxy-26-oxo-6,7:22,26-diepoxyergost-24-en-3-yl hexopyranoside																		no	no		
NCGC00347781-02!5-hydroxy-8-(4-hydroxyphenyl)-2,2-dimethylpyrano[3,2-g]chromen-6-one																		no	no		
NCGC00347805-02!(2E,6E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-2,6,34-triene-1,10,11,15,19,23,27,31-octol																		no	no		
NCGC00347809-02!8-[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl]-8,9-dihydrofuro[2,3-h]chromen-2-one																		no	no		
NCGC00347812-02_C26H34O12_beta-D-Glucopyranoside, 2-methoxy-4-[(1S,2S,3S)-1,2,3,4-tetrahydro-3,7-dihydroxy-2,3-bis(hydroxymethyl)-6-methoxy-1-naphthalenyl]phenyl																		no	no		
NCGC00347815-02!2-(2-hydroxypropan-2-yl)-9-(3-methylbut-2-enyl)-2,3-dihydrofuro[3,2-g]chromen-7-one																		no	no		
NCGC00347822-02_C24H28O12_2-Propenoic acid, 3-(4-hydroxyphenyl)-, (1aS,1bS,2S,5aR,6S,6aS)-2-(beta-D-glucopyranosyloxy)-1a,1b,2,5a,6,6a-hexahydro-1a-(hydroxymethyl)oxireno[4,5]cyclopenta[1,2-c]pyran-6-yl ester, (2E)-																		no	no		
NCGC00347828-02_C24H37NO5_(7E)-11,12,13-Trihydroxy-3-isobutyl-4,5,8-trimethyl-3,3a,4,6a,9,10,11,12,13,14-decahydro-1H-cycloundeca[d]isoindole-1,15(2H)-dione																		no	no		
NCGC00347847-02_C22H26O13_(1aS,1bS,2S,5aR,6S,6aS)-2-(beta-D-Glucopyranosyloxy)-1a-(hydroxymethyl)-1a,1b,2,5a,6,6a-hexahydrooxireno[4,5]cyclopenta[1,2-c]pyran-6-yl 3,4-dihydroxybenzoate																		no	no		
NCGC00347848-02_C22H26O12_Benzoic acid, 4-hydroxy-, (1aS,1bS,2S,5aR,6S,6aS)-2-(beta-D-glucopyranosyloxy)-1a,1b,2,5a,6,6a-hexahydro-1a-(hydroxymethyl)oxireno[4,5]cyclopenta[1,2-c]pyran-6-yl ester																		no	no		
NCGC00347850-02_C26H42O6_2-(4a-Methyl-8-methylenedecahydro-2-naphthalenyl)-2-propanyl 6-deoxy-2-O-[(2E)-2-methyl-2-butenoyl]hexopyranoside																		no	no		
NCGC00347854-02!(3R,4S,5R)-4-hydroxy-3,5-bis[(3,4,5-trihydroxybenzoyl)oxy]cyclohexene-1-carboxylic acid																		no	no		
NCGC00380091-01![2,6-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohex-3-en-1-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate																		no	no		
NCGC00380094-01!4-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3-hydroxy-3,4-dihydro-2H-pyran-2,6-dicarboxylic acid																		no	no		
NCGC00380117-01_C27H41NO4_(7E)-3-Isobutyl-4,5,8,12,12-pentamethyl-3,3a,4,6a,9,10,10a,13a,14,15-decahydro-1H-[1,3]dioxolo[7,8]cycloundeca[1,2-d]isoindole-1,16(2H)-dione																		no	no		
NCGC00380142-01!(E)-5-(1,3-benzodioxol-5-yl)-N-(2-methylpropyl)pent-4-enamide																		no	no		
NCGC00380144-01_C20H28O3_(8E)-14-Hydroxy-5,9,12,13-tetramethyl-16-methylene-4-oxatricyclo[10.3.1.0~3,5~]hexadeca-1(15),8-dien-2-one																		no	no		
NCGC00380159-01_C33H52O13_																		no	no		
NCGC00380160-01_C24H40O5_4-{[5-(7-Hydroxy-5,5,8a-trimethyl-2-methylenedecahydro-1-naphthalenyl)-3-methylpentyl]oxy}-4-oxobutanoic acid																		no	no		
NCGC00380162-01_C16H28O12_alpha-D-Glucopyranoside, alpha-D-glucopyranosyl, 3-(2-methylpropanoate)																		no	no		
NCGC00380170-01_C19H26O11_5-{[4-(beta-D-Glucopyranosyloxy)benzyl]oxy}-3-hydroxy-3-methyl-5-oxopentanoic acid																		no	no		
NCGC00380171-01_C20H28O11_Pentanedioic acid, 3-hydroxy-3-methyl-, [4-(beta-D-glucopyranosyloxy)phenyl]methyl methyl ester																		no	no		
NCGC00380187-01_C26H32O13_beta-D-Glucopyranoside, 2-methoxy-4-[tetrahydro-3a,6a-dihydroxy-4-(4-hydroxy-3-methoxyphenyl)-1H,3H-furo[3,4-c]furan-1-yl]phenyl																		no	no		
NCGC00380206-02!5-chloro-3-[(1E,3E)-3,5-dimethylhepta-1,3-dienyl]-7,8-dihydroxy-7-methyl-8,8a-dihydro-1H-isochromen-6-one																		no	no		
NCGC00380208-01!bis[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl] 3-hydroxy-3-methylpentanedioate																		no	no		
NCGC00380210-01_C18H30O8_Cyclopentaneacetic acid, 3-(hexopyranosyloxy)-2-[(2Z)-2-penten-1-yl]-																		no	no		
